node_id,t,budget,K,ep_utility,ac_utility
4,2,4800,6,60,25
4,3,4800,6,60,31
4,4,4800,6,60,33
4,5,4800,6,60,36
4,6,4800,6,60,36
4,7,4800,6,60,36
4,8,4800,6,60,39
4,9,4800,6,60,39
4,10,4800,6,60,40
4,11,4800,6,60,41
4,12,4800,6,60,41
4,1,4800,7,60,10
4,2,4800,7,60,23
4,3,4800,7,60,29
4,4,4800,7,60,35
4,5,4800,7,60,39
4,6,4800,7,60,39
4,7,4800,7,60,43
4,8,4800,7,60,43
4,9,4800,7,60,43
4,10,4800,7,60,43
4,11,4800,7,60,43
4,12,4800,7,60,44
4,1,4800,8,60,17
4,2,4800,8,60,23
4,3,4800,8,60,32
4,4,4800,8,60,38
4,5,4800,8,60,45
4,6,4800,8,60,45
4,7,4800,8,60,45
4,8,4800,8,60,47
4,9,4800,8,60,49
4,10,4800,8,60,48
4,11,4800,8,60,50
4,12,4800,8,60,51
4,1,4800,9,60,19
4,2,4800,9,60,29
4,3,4800,9,60,33
4,4,4800,9,60,40
4,5,4800,9,60,45
4,6,4800,9,60,49
4,7,4800,9,60,46
4,8,4800,9,60,50
4,9,4800,9,60,52
4,10,4800,9,60,52
4,11,4800,9,60,53
4,12,4800,9,60,53
4,1,4800,10,60,21
4,2,4800,10,60,32
4,3,4800,10,60,37
4,4,4800,10,60,42
4,5,4800,10,60,43
4,6,4800,10,60,47
4,7,4800,10,60,52
4,8,4800,10,60,53
4,9,4800,10,60,53
4,10,4800,10,60,53
4,11,4800,10,60,53
4,12,4800,10,60,54
4,1,4800,11,60,19
4,2,4800,11,60,35
4,3,4800,11,60,44
4,4,4800,11,60,52
4,5,4800,11,60,54
4,6,4800,11,60,54
4,7,4800,11,60,55
4,8,4800,11,60,56
4,9,4800,11,60,56
4,10,4800,11,60,57
4,11,4800,11,20.000960101376894,12
4,12,4800,11,0,0
4,1,4800,12,60,24
4,2,4800,12,60,40
4,3,4800,12,60,45
4,4,4800,12,60,50
4,5,4800,12,60,53
4,6,4800,12,60,54
4,7,4800,12,60,54
4,8,4800,12,60,54
4,9,4800,12,60,56
4,10,4800,12,60,51
4,11,4800,12,8.668480050688448,6
4,12,4800,12,0,0
4,1,4800,13,60,30
4,2,4800,13,60,43
4,3,4800,13,60,51
4,4,4800,13,60,56
4,5,4800,13,60,58
4,6,4800,13,60,58
4,7,4800,13,60,59
4,8,4800,13,60,56
4,9,4800,13,0,0
4,10,4800,13,0,0
4,11,4800,13,0,0
4,12,4800,13,0,0
4,1,4800,14,60,26
4,2,4800,14,60,44
4,3,4800,14,60,48
4,4,4800,14,60,49
4,5,4800,14,60,49
4,6,4800,14,60,51
4,7,4800,14,60,53
4,8,4800,14,60,44
